geoid,cplace
"06037201700",Los Angeles
"06037203100",Los Angeles
"06037203300",Los Angeles
"06075030301",San Francisco
"06075030102",San Francisco
"06075030201",San Francisco
"06059099801",
"06075030302",San Francisco
"06059099802",Westminster
"06059099803",Westminster
"06075030400",San Francisco
"06037433503",South El Monte
"06059110114",Cypress
"06037575801",Long Beach
"06037651221",Torrance
"06037554600",
"06037620201",
"06037101220",Los Angeles
"06059076101",
"06037211803",Los Angeles
"06037211922",Los Angeles
"06037212501",Los Angeles
"06037241201",Los Angeles
"06037702002",Santa Monica
"06029004902",Delano
"06081611700",Menlo Park
"06029006201",
"06059110116",La Palma
"06059075004",Santa Ana
"06075030800",San Francisco
"06075010900",San Francisco
"06075030500",San Francisco
"06075030600",San Francisco
"06075030700",San Francisco
"06059076102",
"06059076103",
"06037203900",Los Angeles
"06037137201",Los Angeles
"06037137301",Los Angeles
"06037137302",Los Angeles
"06001405302",Oakland
"06007000401",
"06107002202",
"06001405301",Oakland
"06059099902",Westminster
"06037190202",Los Angeles
"06037137401",Los Angeles
"06037141302",Los Angeles
"06019001304",Fresno
"06037141400",Los Angeles
"06037143100",Los Angeles
"06037102107",Los Angeles
"06037620904",
"06037650003",Torrance
"06095250104",Vallejo
"06037203800",Los Angeles
"06037207710",Los Angeles
"06037207900",Los Angeles
"06037208000",Los Angeles
"06037137402",Los Angeles
"06085503506",San Jose
"06085501700",San Jose
"06085512001",
"06075011100",San Francisco
"06085510300",Los Altos
"06085507002",
"06073011601",National City
"06085505001",Santa Clara
"06071000808",Upland
"06085512307",
"06073013312",Chula Vista
"06085511910",San Jose
"06037135114",Los Angeles
"06085505700",
"06037901004",
"06085507301",
"06075011200",San Francisco
"06077005004",
"06071000201",Montclair
"06075011300",San Francisco
"06077004701",Lockeford
"06077003110",
"06077003215",Stockton
"06037901007",Lancaster
"06077005122",
"06037901101",
"06077003500",
"06037901102",
"06077004102",
"06037276601",Los Angeles
"06077003700",
"06037277000",Los Angeles
"06077003803",
"06077003801",Stockton
"06077004001",
"06077003308",Stockton
"06037137103",Los Angeles
"06077003114",Stockton
"06073008331",San Diego
"06073008336",San Diego
