GEOID,medrnt12,medrnt12_moe
060014001001,2121.06,NA
060014002001,1807.3000000000002,337.08000000000004
060014002002,1619.68,345.56
060014003001,1389.66,286.2
060014003002,1245.5,196.10000000000002
060014003003,444.14000000000004,433.54
060014003004,1037.74,382.66
060014004001,1893.16,239.56
060014004002,1487.18,316.94
060014004003,1415.1000000000001,177.02
060014005001,1187.2,110.24000000000001
060014005002,1534.88,1155.4
060014005003,1142.68,263.94
060014006001,1479.76,149.46
060014006002,954,440.96000000000004
060014007001,901,297.86
060014007002,1252.92,122.96000000000001
060014007003,1489.3000000000002,180.20000000000002
060014007004,1465.98,172.78
060014008001,1217.94,172.78
060014008002,1363.16,662.5
060014008003,1325,382.66
060014009001,962.48,251.22
060014009002,1717.2,376.3
060014010001,1298.5,260.76
060014010002,1206.28,286.2
060014010003,1241.26,206.70000000000002
060014010004,1194.6200000000001,364.64000000000004
060014010005,1230.66,117.66000000000001
060014010006,1238.0800000000002,189.74
060014011001,1316.52,170.66
060014011002,1152.22,87.98
060014011003,1170.24,68.9
060014011004,925.38,351.92
060014012001,1500.96,90.10000000000001
060014012002,950.82,268.18
060014012003,1371.64,87.98
060014013001,1037.74,167.48000000000002
060014013002,958.24,213.06
060014013003,963.5400000000001,130.38
060014014001,1015.48,199.28
060014014002,818.32,186.56
060014014003,840.58,121.9
060014015001,689,170.66
060014015002,1139.5,762.14
060014015003,715.5,251.22
060014016001,1295.3200000000002,182.32000000000002
060014016002,1103.46,213.06
060014017001,1694.94,497.14000000000004
060014017002,1293.2,222.60000000000002
060014017003,NA,NA
060014018001,894.6400000000001,136.74
060014018002,859.6600000000001,166.42000000000002
060014022001,899.94,75.26
060014022002,1100.28,157.94
060014022003,1234.9,455.8
060014024001,1155.4,179.14000000000001
060014024002,498.20000000000005,354.04
060014025001,1143.74,87.98
060014025002,291.5,97.52000000000001
060014026001,804.5400000000001,104.94000000000001
060014027001,954,299.98
060014027002,1136.3200000000002,179.14000000000001
060014028001,477,42.400000000000006
060014028002,837.4000000000001,628.58
060014029001,789.7,80.56
060014030001,1208.4,304.22
060014030002,267.12,239.56
060014031001,649.7800000000001,292.56
060014033001,1832.74,128.26000000000002
060014033002,730.34,278.78000000000003
060014034001,1774.44,1157.52
060014034002,1082.26,139.92000000000002
060014034003,944.46,169.60000000000002
060014034004,1034.56,72.08
060014035011,811.96,150.52
060014035012,1101.3400000000001,149.46
060014035013,1016.5400000000001,20.14
060014035021,1268.8200000000002,109.18
060014035022,1237.02,174.9
060014036001,1248.68,71.02000000000001
060014036002,1167.06,76.32000000000001
060014036003,1411.92,72.08
